qsort:  0.02 ,Sort: 0.033 ,Merge: 0.274
qsort:  0.038 ,Sort: 0.073 ,Merge: 0.473
qsort:  0.037 ,Sort: 0.06 ,Merge: 0.333
qsort:  0.033 ,Sort: 0.064 ,Merge: 0.32
qsort:  0.02 ,Sort: 0.039 ,Merge: 0.39
qsort:  0.03 ,Sort: 0.047 ,Merge: 0.325
qsort:  0.02 ,Sort: 0.05 ,Merge: 0.396
qsort:  0.038 ,Sort: 0.05 ,Merge: 0.366
qsort:  0.036 ,Sort: 0.06 ,Merge: 0.351
qsort:  0.035 ,Sort: 0.068 ,Merge: 0.472
qsort:  0.035 ,Sort: 0.069 ,Merge: 0.358
qsort:  0.022 ,Sort: 0.055 ,Merge: 0.357
qsort:  0.027 ,Sort: 0.072 ,Merge: 0.311
qsort:  0.022 ,Sort: 0.041 ,Merge: 0.313
qsort:  0.023 ,Sort: 0.039 ,Merge: 0.387
qsort:  0.02 ,Sort: 0.041 ,Merge: 0.491
qsort:  0.044 ,Sort: 0.051 ,Merge: 0.407
qsort:  0.029 ,Sort: 0.044 ,Merge: 0.354
qsort:  0.025 ,Sort: 0.072 ,Merge: 0.422
qsort:  0.041 ,Sort: 0.064 ,Merge: 0.367
qsort:  0.035 ,Sort: 0.041 ,Merge: 0.384
qsort:  0.016 ,Sort: 0.042 ,Merge: 0.448
qsort:  0.017 ,Sort: 0.063 ,Merge: 0.331
qsort:  0.038 ,Sort: 0.07 ,Merge: 0.487
qsort:  0.037 ,Sort: 0.057 ,Merge: 0.419
qsort:  0.024 ,Sort: 0.051 ,Merge: 0.38
qsort:  0.035 ,Sort: 0.056 ,Merge: 0.45
qsort:  0.033 ,Sort: 0.066 ,Merge: 0.35
qsort:  0.025 ,Sort: 0.049 ,Merge: 0.418
qsort:  0.042 ,Sort: 0.049 ,Merge: 0.469
qsort:  0.039 ,Sort: 0.07 ,Merge: 0.387
qsort:  0.03 ,Sort: 0.058 ,Merge: 0.48
qsort:  0.039 ,Sort: 0.066 ,Merge: 0.427
qsort:  0.039 ,Sort: 0.067 ,Merge: 0.549
qsort:  0.02 ,Sort: 0.063 ,Merge: 0.509
qsort:  0.039 ,Sort: 0.07 ,Merge: 0.545
qsort:  0.04 ,Sort: 0.08 ,Merge: 0.607
qsort:  0.042 ,Sort: 0.072 ,Merge: 0.478
qsort:  0.043 ,Sort: 0.078 ,Merge: 0.55
qsort:  0.034 ,Sort: 0.048 ,Merge: 0.41
qsort:  0.028 ,Sort: 0.048 ,Merge: 0.435
qsort:  0.024 ,Sort: 0.05 ,Merge: 0.5
qsort:  0.045 ,Sort: 0.071 ,Merge: 0.392
qsort:  0.019 ,Sort: 0.036 ,Merge: 0.357
qsort:  0.021 ,Sort: 0.039 ,Merge: 0.43
qsort:  0.026 ,Sort: 0.069 ,Merge: 0.43
